Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.375,18.0,17.375,17.375,13.363424301147461,50000
1998-03-02,17.25,17.25,17.0,17.25,13.267281532287598,75000
1998-03-03,17.125,17.125,16.75,17.125,13.171140670776367,35000
1998-03-04,15.75,15.75,15.5,15.75,12.113607406616211,60000
1998-03-05,16.125,16.125,16.125,16.125,12.402024269104004,400
1998-03-06,16.125,16.375,16.125,16.125,12.402024269104004,3600
1998-03-09,16.125,16.5,15.875,15.875,12.209744453430176,3200
1998-03-10,15.875,16.875,15.875,16.25,12.498167037963867,56800
1998-03-11,16.25,16.5,16.125,16.25,12.498167037963867,10400
1998-03-12,16.25,16.375,16.125,16.375,12.594305038452148,3800
1998-03-13,16.5,16.5,16.5,16.5,12.690447807312012,1000
1998-03-16,16.5,16.5,16.125,16.125,12.402024269104004,7700
1998-03-17,16.125,16.125,15.75,15.875,12.209744453430176,28000
1998-03-18,15.875,16.125,15.75,16.125,12.402024269104004,45700
1998-03-19,16.125,17.375,16.0,17.125,13.171140670776367,383600
1998-03-20,17.25,17.75,17.25,17.75,13.651841163635254,275600
1998-03-23,17.75,19.0,17.375,18.875,14.51709270477295,398600
1998-03-24,18.875,19.875,18.875,19.75,15.190075874328613,261800
1998-03-25,19.75,20.125,19.5,19.875,15.28622055053711,135600
1998-03-26,19.875,19.875,19.25,19.625,15.093938827514648,26300
1998-03-27,19.625,19.75,18.375,19.25,14.80551528930664,62200
1998-03-30,19.25,19.875,19.25,19.875,15.28622055053711,49500
1998-03-31,19.875,20.25,19.875,20.125,15.47848892211914,79000
1998-04-01,20.125,20.625,20.0,20.5,15.766916275024414,150100
1998-04-02,21.75,23.375,21.75,23.25,17.881988525390625,140500
1998-04-03,23.25,26.125,21.75,24.75,19.035661697387695,458700
1998-04-06,24.75,26.0,23.0,24.0,18.458829879760742,105300
1998-04-07,24.0,24.0,22.125,22.125,17.0167293548584,152800
1998-04-08,22.125,23.0,21.0,22.5,17.305156707763672,45100
1998-04-09,22.5,23.0,22.25,23.0,17.689714431762695,151400
1998-04-13,23.0,23.25,22.375,22.625,17.401287078857422,85900
1998-04-14,22.625,23.0,22.5,22.75,17.497419357299805,322900
1998-04-15,22.75,22.875,21.5,21.75,16.728303909301758,23100
1998-04-16,21.75,21.75,20.875,21.25,16.34375,55400
1998-04-17,21.25,21.625,21.0,21.625,16.63217544555664,15100
1998-04-20,21.625,22.125,21.25,22.125,17.0167293548584,92900
1998-04-21,22.125,22.125,21.75,22.125,17.0167293548584,23100
1998-04-22,22.125,23.625,22.125,23.0,17.689714431762695,60900
1998-04-23,23.0,23.5,23.0,23.5,18.074270248413086,242300
1998-04-24,23.5,23.625,22.0,22.0,16.92059326171875,100900
1998-04-27,22.0,22.5,19.875,20.875,16.055334091186523,52200
1998-04-28,20.875,21.875,20.75,21.5,16.53603172302246,29100
1998-04-29,21.5,22.5,21.0,22.5,17.305156707763672,101300
1998-04-30,22.5,23.25,22.375,23.0,17.689714431762695,116300
1998-05-01,23.0,23.125,22.0,22.125,17.0167293548584,61000
1998-05-04,22.125,22.25,21.25,21.625,16.63217544555664,58400
1998-05-05,21.625,21.75,20.75,21.25,16.34375,44000
1998-05-06,21.25,22.0,20.875,22.0,16.92059326171875,47300
1998-05-07,22.0,22.125,21.375,21.375,16.439891815185547,230900
1998-05-08,21.75,22.75,21.75,22.625,17.401287078857422,320700
1998-05-11,22.625,22.75,22.25,22.375,17.209007263183594,375200
1998-05-12,22.375,22.625,22.0,22.0,16.92059326171875,333300
1998-05-13,22.125,22.625,22.125,22.375,17.209007263183594,88100
1998-05-14,22.375,22.5,22.0,22.5,17.305156707763672,35600
1998-05-15,22.5,22.5,21.5,22.0,16.92059326171875,69200
1998-05-18,22.0,22.125,21.0,21.5,16.53603172302246,53200
1998-05-19,21.5,22.0,21.5,22.0,16.92059326171875,21000
1998-05-20,22.0,22.0,21.0,21.0,16.151477813720703,14100
1998-05-21,21.0,21.125,19.5,21.125,16.24761390686035,116400
1998-05-22,20.75,20.75,20.25,20.625,15.863059043884277,45100
1998-05-26,20.625,21.0,19.125,19.5,14.997803688049316,119500
1998-05-27,19.5,19.5,18.75,19.25,14.80551528930664,91100
1998-05-28,19.25,20.5,18.75,20.5,15.766916275024414,163600
1998-05-29,20.5,22.5,20.5,22.5,17.305156707763672,121900
1998-06-01,22.5,22.5,22.0,22.125,17.0167293548584,258500
1998-06-02,22.125,22.5,22.125,22.375,17.209007263183594,123400
1998-06-03,22.375,22.5,20.75,20.75,15.95919132232666,180600
1998-06-04,20.75,21.0,20.0,20.75,15.95919132232666,263200
1998-06-05,21.0,23.0,21.0,22.875,17.59356689453125,290100
1998-06-08,23.25,23.625,22.5,23.0,17.689714431762695,2718000
1998-06-09,23.0,23.0,22.0,22.375,17.209007263183594,604900
1998-06-10,22.5,23.125,22.5,22.875,17.59356689453125,149300
1998-06-11,22.875,23.0625,22.5625,23.0,17.689714431762695,697400
1998-06-12,23.0,23.0,22.375,22.5625,17.353219985961914,782000
1998-06-15,22.9375,22.9375,21.875,21.875,16.82445526123047,165900
1998-06-16,21.9375,22.0,21.75,21.75,16.728303909301758,95000
1998-06-17,21.9375,21.9375,21.5,21.9375,16.872520446777344,57400
1998-06-18,21.9375,21.9375,21.375,21.5,16.53603172302246,588700
1998-06-19,21.125,21.375,21.0625,21.1875,16.29568099975586,698100
1998-06-22,21.0,21.375,20.625,21.125,16.24761390686035,159500
1998-06-23,21.875,22.75,21.625,22.5,17.305156707763672,234000
1998-06-24,22.5,23.0625,22.5,23.0,17.689714431762695,275900
1998-06-25,23.0,23.625,22.6875,23.0,17.689714431762695,223500
1998-06-26,23.25,23.625,23.125,23.375,17.978126525878906,115800
1998-06-29,23.125,23.1875,21.625,22.875,17.59356689453125,188900
1998-06-30,22.9375,24.9375,22.6875,24.9375,19.179874420166016,566300
