Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,5.1875,5.15625,5.15625,2.098001718521118,22400
1973-02-22,0.0,5.203125,5.171875,5.171875,2.104358673095703,11200
1973-02-23,0.0,5.171875,5.125,5.140625,2.091644763946533,52800
1973-02-26,0.0,5.125,5.125,5.125,2.0852866172790527,9600
1973-02-27,0.0,5.140625,5.125,5.125,2.0852866172790527,18400
1973-02-28,0.0,5.140625,5.125,5.125,2.0852866172790527,29600
1973-03-01,0.0,5.125,5.0625,5.0625,2.0630249977111816,24000
1973-03-02,0.0,5.0625,5.03125,5.03125,2.050291061401367,36800
1973-03-05,0.0,5.046875,5.0,5.015625,2.0439226627349854,48000
1973-03-06,0.0,5.078125,5.015625,5.078125,2.0693931579589844,12800
1973-03-07,0.0,5.125,5.0625,5.125,2.0884957313537598,97600
1973-03-08,0.0,5.109375,5.09375,5.109375,2.0821268558502197,8000
1973-03-09,0.0,5.125,5.09375,5.09375,2.075760841369629,100800
1973-03-12,0.0,5.09375,5.0625,5.0625,2.0630249977111816,57600
1973-03-13,0.0,5.03125,5.03125,5.03125,2.050291061401367,114400
1973-03-14,0.0,5.125,5.0625,5.109375,2.0821268558502197,226400
1973-03-15,0.0,5.21875,5.125,5.1875,2.113964080810547,74400
1973-03-16,0.0,5.1875,5.15625,5.1875,2.113964080810547,116000
1973-03-19,0.0,5.234375,5.171875,5.234375,2.133065938949585,53600
1973-03-20,0.0,5.28125,5.203125,5.25,2.1394355297088623,40000
1973-03-21,0.0,5.34375,5.265625,5.28125,2.1521685123443604,65600
1973-03-22,0.0,5.265625,5.125,5.125,2.0884957313537598,69600
1973-03-23,0.0,5.140625,5.109375,5.125,2.0884957313537598,20000
1973-03-26,0.0,5.21875,5.15625,5.1875,2.113964080810547,28800
1973-03-27,0.0,5.1875,5.15625,5.171875,2.107598066329956,12000
1973-03-28,0.0,5.3125,5.15625,5.3125,2.164904832839966,38400
1973-03-29,0.0,5.53125,5.34375,5.53125,2.2540459632873535,516000
1973-03-30,0.0,5.5,5.4375,5.46875,2.2285778522491455,50400
1973-04-02,0.0,5.5,5.4375,5.5,2.2413127422332764,12000
