Date,Open,High,Low,Close,Adj Close,Volume
1988-09-29,0.0,1.53125,1.5,1.5,0.9060612320899963,24800
1988-09-30,0.0,1.53125,1.46875,1.46875,0.8871845602989197,8000
1988-10-03,0.0,2.9375,2.75,2.75,1.66111159324646,6400
1988-10-04,0.0,2.8125,2.75,2.8125,1.6988641023635864,6600
1988-10-05,0.0,2.75,2.5,2.5,1.5101016759872437,16000
1988-10-06,0.0,2.625,2.5,2.625,1.5856072902679443,7600
1988-10-07,0.0,2.5,2.4375,2.4375,1.4723485708236694,7600
1988-10-10,0.0,2.4375,2.3125,2.3125,1.396844744682312,3600
1988-10-11,0.0,2.3125,2.0625,2.125,1.2835862636566162,10800
1988-10-12,0.0,2.1875,2.125,2.1875,1.3213392496109009,3400
1988-10-13,0.0,2.25,2.25,2.25,1.3590915203094482,1200
1988-10-14,0.0,2.3125,2.25,2.3125,1.396844744682312,2400
1988-10-17,0.0,2.25,2.1875,2.1875,1.3213392496109009,5400
1988-10-18,0.0,2.1875,2.1875,2.1875,1.3213392496109009,5000
1988-10-19,0.0,2.25,2.125,2.125,1.2835862636566162,5400
1988-10-20,0.0,2.1875,2.125,2.1875,1.3213392496109009,5600
1988-10-21,0.0,2.1875,2.1875,2.1875,1.3213392496109009,2400
1988-10-24,0.0,2.1875,2.0,2.0625,1.2458341121673584,24000
1988-10-25,0.0,2.0625,2.0,2.0625,1.2458341121673584,25600
1988-10-26,0.0,2.125,2.0625,2.0625,1.2458341121673584,2800
1988-10-27,0.0,2.125,2.0,2.0625,1.2458341121673584,5000
1988-10-28,0.0,2.0625,2.0,2.0625,1.2458341121673584,2400
1988-10-31,0.0,2.0,1.9375,2.0,1.2080810070037842,11000
1988-11-01,0.0,2.0,1.9375,2.0,1.2080810070037842,10200
1988-11-02,0.0,1.9375,1.875,1.9375,1.1703286170959473,13400
1988-11-03,0.0,1.875,1.8125,1.875,1.1325769424438477,17800
1988-11-04,0.0,1.875,1.8125,1.875,1.1325769424438477,8600
1988-11-07,0.0,1.875,1.8125,1.875,1.1325769424438477,3400
1988-11-08,0.0,1.875,1.8125,1.875,1.1325769424438477,32600
1988-11-09,0.0,1.875,1.8125,1.875,1.1325769424438477,27000
1988-11-10,0.0,2.0625,1.875,2.0625,1.2458341121673584,27000
