Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.5,2.5,2.5,2.5,1.4257982969284058,54400
1973-02-22,2.5,2.5,2.5,2.5,1.4257982969284058,56000
1973-02-23,2.476562976837158,2.476562976837158,2.476562976837158,2.476562976837158,1.4124308824539185,113600
1973-02-26,2.484375,2.484375,2.484375,2.484375,1.416886806488037,280000
1973-02-27,2.46875,2.46875,2.46875,2.46875,1.4079757928848267,387200
1973-02-28,2.484375,2.484375,2.484375,2.484375,1.416886806488037,144000
1973-03-01,2.460937976837158,2.460937976837158,2.460937976837158,2.460937976837158,1.403520941734314,80000
1973-03-02,2.46875,2.46875,2.46875,2.46875,1.4079757928848267,422400
1973-03-05,2.453125,2.453125,2.453125,2.453125,1.3990639448165894,281600
1973-03-06,2.453125,2.453125,2.453125,2.453125,1.3990639448165894,184000
1973-03-07,2.429687976837158,2.429687976837158,2.429687976837158,2.429687976837158,1.3856971263885498,91200
1973-03-08,2.421875,2.421875,2.421875,2.421875,1.3812415599822998,38400
1973-03-09,2.414062976837158,2.414062976837158,2.414062976837158,2.414062976837158,1.3767859935760498,140800
1973-03-12,2.40625,2.40625,2.40625,2.40625,1.3723299503326416,432000
1973-03-13,2.414062976837158,2.414062976837158,2.414062976837158,2.414062976837158,1.3767859935760498,88000
1973-03-14,2.421875,2.421875,2.421875,2.421875,1.3812415599822998,48000
1973-03-15,2.429687976837158,2.429687976837158,2.429687976837158,2.429687976837158,1.3856971263885498,40000
1973-03-16,2.4375,2.4375,2.4375,2.4375,1.3901525735855103,137600
1973-03-19,2.429687976837158,2.429687976837158,2.429687976837158,2.429687976837158,1.3856971263885498,155200
1973-03-20,2.414062976837158,2.414062976837158,2.414062976837158,2.414062976837158,1.3767859935760498,441600
1973-03-21,2.414062976837158,2.414062976837158,2.414062976837158,2.414062976837158,1.3767859935760498,384000
1973-03-22,2.351562976837158,2.351562976837158,2.351562976837158,2.351562976837158,1.341140866279602,225600
1973-03-23,2.296875,2.296875,2.296875,2.296875,1.3099514245986938,192000
1973-03-26,2.242187976837158,2.242187976837158,2.242187976837158,2.242187976837158,1.278762698173523,384000
1973-03-27,2.304687976837158,2.304687976837158,2.304687976837158,2.304687976837158,1.3144069910049438,304000
1973-03-28,2.328125,2.328125,2.328125,2.328125,1.3277742862701416,326400
1973-03-29,2.375,2.375,2.375,2.375,1.3545076847076416,329600
1973-03-30,2.359375,2.359375,2.359375,2.359375,1.3455967903137207,102400
1973-04-02,2.320312976837158,2.320312976837158,2.320312976837158,2.320312976837158,1.323318362236023,195200
1973-04-03,2.304687976837158,2.304687976837158,2.304687976837158,2.304687976837158,1.3144069910049438,73600
1973-04-04,2.265625,2.265625,2.265625,2.265625,1.2921288013458252,110400
1973-04-05,2.273437976837158,2.273437976837158,2.273437976837158,2.273437976837158,1.296585202217102,112000
1973-04-06,2.289062976837158,2.289062976837158,2.289062976837158,2.289062976837158,1.3054964542388916,136000
1973-04-09,2.289062976837158,2.289062976837158,2.289062976837158,2.289062976837158,1.3054964542388916,120000
1973-04-10,2.375,2.375,2.375,2.375,1.3545076847076416,196800
