Date,Open,High,Low,Close,Adj Close,Volume
1994-01-28,21.0,22.5,20.75,21.625,3.8725032806396484,719200
1994-01-31,21.5,21.625,21.125,21.375,3.827735424041748,86900
1994-02-01,21.25,21.375,21.125,21.25,3.8053510189056396,56900
1994-02-02,21.25,21.5,21.25,21.25,3.8053510189056396,43600
1994-02-03,21.25,21.5,21.25,21.5,3.850119113922119,42900
1994-02-04,21.25,21.5,21.125,21.125,3.7829654216766357,56500
1994-02-07,21.125,21.5,21.125,21.375,3.827735424041748,40900
1994-02-08,21.5,22.25,21.5,22.0,3.9396555423736572,205400
1994-02-09,22.125,22.75,22.125,22.25,3.984424352645874,76900
1994-02-10,22.25,23.0,22.25,23.0,4.118733882904053,42500
1994-02-11,22.875,23.875,22.875,23.5,4.208268642425537,49400
1994-02-14,23.25,24.5,23.25,23.875,4.275422096252441,97400
1994-02-15,23.75,24.0,23.125,23.125,4.141114234924316,62100
1994-02-16,23.125,23.625,23.125,23.375,4.185884952545166,26700
1994-02-17,23.625,24.125,23.625,24.125,4.3201904296875,8900
1994-02-18,24.125,24.375,24.0,24.25,4.3425750732421875,27900
1994-02-22,24.0,24.125,23.75,23.75,4.2530364990234375,25000
1994-02-23,24.0,24.0,23.25,23.375,4.185884952545166,48100
1994-02-24,23.25,23.875,23.0,23.25,4.163501262664795,48500
1994-02-25,23.0,23.0,22.75,22.875,4.096349239349365,36000
1994-02-28,23.125,23.125,22.5,22.625,4.051578521728516,14500
1994-03-01,22.625,23.25,22.5,23.0,4.118733882904053,74900
1994-03-02,23.25,23.75,23.0,23.5,4.208268642425537,21700
1994-03-03,23.5,23.5,23.0,23.0,4.118733882904053,8600
1994-03-04,23.25,23.25,22.75,23.0,4.118733882904053,5000
1994-03-07,22.75,23.125,22.75,22.875,4.096349239349365,13200
1994-03-08,22.75,22.75,22.25,22.625,4.051578521728516,9800
1994-03-09,22.625,22.625,22.5,22.5,4.029193878173828,38700
1994-03-10,22.375,22.5,22.25,22.5,4.029193878173828,28800
1994-03-11,22.125,22.125,22.0,22.0,3.9396555423736572,5800
1994-03-14,22.0,23.75,22.0,23.25,4.163501262664795,59900
1994-03-15,23.5,23.5,22.875,22.875,4.096349239349365,4400
1994-03-16,23.0,23.5,23.0,23.375,4.185884952545166,10800
1994-03-17,23.25,23.5,23.25,23.5,4.208268642425537,18900
1994-03-18,23.625,23.625,23.25,23.25,4.163501262664795,7400
1994-03-21,23.25,23.25,23.125,23.25,4.163501262664795,4100
1994-03-22,23.125,23.625,23.125,23.25,4.163501262664795,33600
1994-03-23,23.375,23.5,23.25,23.375,4.185884952545166,1900
1994-03-24,23.5,24.0,23.5,24.0,4.297807216644287,18400
1994-03-25,23.75,24.0,23.75,23.75,4.2530364990234375,5300
1994-03-28,23.625,23.625,23.25,23.5,4.208268642425537,11500
1994-03-29,23.875,23.875,23.25,23.25,4.163501262664795,4200
1994-03-30,23.125,23.125,23.0,23.125,4.141114234924316,20600
1994-03-31,23.0,23.125,23.0,23.125,4.141114234924316,14200
1994-04-04,23.0,23.125,22.75,22.75,4.073963642120361,29900
1994-04-05,23.0,23.125,22.75,23.125,4.141114234924316,1500
1994-04-06,23.125,23.125,23.0,23.125,4.141114234924316,5100
1994-04-07,23.25,23.5,23.25,23.375,4.185884952545166,3800
1994-04-08,23.5,23.5,23.125,23.375,4.185884952545166,9900
1994-04-11,23.375,23.5,23.375,23.5,4.208268642425537,900
1994-04-12,23.25,23.25,23.25,23.25,4.163501262664795,1600
1994-04-13,23.5,23.5,23.25,23.25,4.163501262664795,7100
1994-04-14,23.375,23.375,23.25,23.375,4.185884952545166,1300
1994-04-15,23.375,23.75,23.25,23.75,4.2530364990234375,10800
1994-04-18,23.5,23.625,23.375,23.375,4.185884952545166,9900
1994-04-19,23.25,23.375,23.125,23.125,4.141114234924316,40200
1994-04-20,23.125,23.125,22.875,22.875,4.096349239349365,22400
1994-04-21,23.125,23.375,23.125,23.375,4.185884952545166,4400
1994-04-22,23.25,24.0,23.125,24.0,4.297807216644287,72100
1994-04-25,24.25,24.375,24.0,24.0,4.297807216644287,19200
1994-04-26,23.875,24.0,23.875,24.0,4.344878673553467,1100
1994-04-28,24.0,24.5,24.0,24.375,4.41276741027832,4000
1994-04-29,24.375,24.625,24.375,24.375,4.41276741027832,6200
1994-05-02,24.625,24.625,24.375,24.625,4.4580254554748535,5700
1994-05-03,24.5,24.75,24.5,24.5,4.435394763946533,2900
1994-05-04,24.625,24.75,24.125,24.75,4.480654239654541,10600
1994-05-05,25.0,25.75,25.0,25.5,4.616433143615723,19800
1994-05-06,25.25,25.25,25.125,25.25,4.571169376373291,8600
1994-05-09,25.375,25.375,25.125,25.125,4.548543930053711,10900
1994-05-10,25.375,25.5,25.125,25.375,4.593801975250244,19000
1994-05-11,25.375,25.75,25.375,25.625,4.6390604972839355,5000
1994-05-12,25.75,25.75,25.5,25.5,4.616433143615723,10100
1994-05-13,25.5,25.75,25.5,25.75,4.661691188812256,9000
1994-05-16,25.625,25.75,25.625,25.625,4.6390604972839355,4100
1994-05-17,25.75,25.75,25.625,25.75,4.661691188812256,4400
1994-05-18,25.75,25.75,25.25,25.25,4.571169376373291,35400
1994-05-19,25.375,25.375,25.25,25.25,4.571169376373291,22900
1994-05-20,25.375,25.375,25.25,25.25,4.571169376373291,2500
1994-05-23,25.0,25.0,24.5,24.5,4.435394763946533,18200
1994-05-24,24.375,24.375,24.0,24.125,4.367504596710205,32100
1994-05-25,24.25,24.625,24.25,24.625,4.4580254554748535,14900
1994-05-26,24.75,25.0,24.75,25.0,4.525912761688232,15300
1994-05-27,25.0,25.0,24.75,24.875,4.5032830238342285,2700
1994-05-31,24.875,25.0,24.75,25.0,4.525912761688232,15600
1994-06-01,25.0,25.0,24.875,25.0,4.525912761688232,4000
1994-06-02,24.875,25.0,24.875,25.0,4.525912761688232,10500
1994-06-03,25.0,25.0,24.875,24.875,4.5032830238342285,14500
1994-06-06,25.0,25.0,24.5,24.875,4.5032830238342285,21900
1994-06-07,24.625,24.875,24.625,24.875,4.5032830238342285,15600
1994-06-08,24.75,24.875,24.75,24.875,4.5032830238342285,5500
1994-06-09,24.75,25.0,24.625,25.0,4.525912761688232,10600
1994-06-10,25.25,25.375,25.0,25.0,4.525912761688232,13800
1994-06-13,25.0,25.25,25.0,25.25,4.571169376373291,7800
1994-06-14,25.125,25.5,25.125,25.25,4.571169376373291,5100
1994-06-15,25.375,25.625,25.0,25.625,4.6390604972839355,16200
1994-06-16,25.875,26.5,25.875,26.25,4.7522077560424805,4100
1994-06-17,26.0,26.125,26.0,26.125,4.729579925537109,7100
1994-06-20,26.0,26.375,26.0,26.375,4.774837970733643,900
1994-06-21,26.125,26.625,26.125,26.625,4.820097923278809,5400
1994-06-22,26.375,27.0,26.375,26.625,4.820097923278809,4200
1994-06-23,26.75,26.75,26.375,26.375,4.774837970733643,70900
1994-06-24,26.375,26.625,26.0,26.0,4.7069501876831055,13100
1994-06-27,26.0,26.25,26.0,26.125,4.729579925537109,18000
1994-06-28,26.0,26.0,26.0,26.0,4.7069501876831055,1900
1994-06-29,25.75,25.75,25.5,25.5,4.616433143615723,20900
