Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,2.625,2.625,2.625,0.6903592944145203,4000
1975-11-18,0.0,2.5625,2.5625,2.5625,0.6739220023155212,39200
1975-11-19,0.0,2.53125,2.53125,2.53125,0.6657033562660217,22400
1975-11-20,0.0,2.46875,2.46875,2.46875,0.6492666006088257,24800
1975-11-21,0.0,2.5,2.5,2.5,0.6574851274490356,22400
1975-11-24,0.0,2.46875,2.46875,2.46875,0.6492666006088257,5600
1975-11-25,0.0,2.46875,2.46875,2.46875,0.6492666006088257,24000
1975-11-26,0.0,2.40625,2.40625,2.40625,0.6328291296958923,35200
1975-11-28,0.0,2.375,2.375,2.375,0.624610960483551,19200
1975-12-01,0.0,2.375,2.375,2.375,0.624610960483551,7200
1975-12-02,0.0,2.3125,2.3125,2.3125,0.6081737875938416,24000
1975-12-03,0.0,2.21875,2.21875,2.21875,0.5835176706314087,40800
1975-12-04,0.0,2.21875,2.21875,2.21875,0.5835176706314087,16000
1975-12-05,0.0,2.15625,2.15625,2.15625,0.5670807957649231,36000
1975-12-08,0.0,2.15625,2.15625,2.15625,0.5670807957649231,37600
1975-12-09,0.0,2.1875,2.1875,2.1875,0.5752993822097778,64000
1975-12-10,0.0,2.1875,2.1875,2.1875,0.5752993822097778,22400
1975-12-11,0.0,2.1875,2.1875,2.1875,0.5752993822097778,15200
1975-12-12,0.0,2.25,2.25,2.25,0.5917367935180664,119200
1975-12-15,0.0,2.21875,2.21875,2.21875,0.5835176706314087,45600
1975-12-16,0.0,2.21875,2.21875,2.21875,0.5835176706314087,53600
1975-12-17,0.0,2.25,2.25,2.25,0.5917367935180664,47200
1975-12-18,0.0,2.28125,2.28125,2.28125,0.5999550223350525,26400
1975-12-19,0.0,2.28125,2.28125,2.28125,0.5999550223350525,8000
1975-12-22,0.0,2.28125,2.28125,2.28125,0.5999550223350525,24800
1975-12-23,0.0,2.28125,2.28125,2.28125,0.5999550223350525,52000
1975-12-24,0.0,2.28125,2.28125,2.28125,0.5999550223350525,8800
1975-12-26,0.0,2.34375,2.34375,2.34375,0.6163919568061829,12800
1975-12-29,0.0,2.34375,2.34375,2.34375,0.6163919568061829,8800
1975-12-30,0.0,2.34375,2.34375,2.34375,0.6163919568061829,20000
1975-12-31,0.0,2.34375,2.34375,2.34375,0.6163919568061829,12000
1976-01-02,0.0,2.3125,2.3125,2.3125,0.6081737875938416,4800
1976-01-05,0.0,2.375,2.375,2.375,0.624610960483551,27200
1976-01-06,0.0,2.53125,2.53125,2.53125,0.6657033562660217,65600
1976-01-07,0.0,2.53125,2.53125,2.53125,0.6657033562660217,25600
1976-01-08,0.0,2.5625,2.5625,2.5625,0.6739220023155212,13600
1976-01-09,0.0,2.53125,2.53125,2.53125,0.6657033562660217,24800
1976-01-12,0.0,2.5625,2.5625,2.5625,0.6739220023155212,35200
1976-01-13,0.0,2.625,2.625,2.625,0.6903592944145203,23200
1976-01-14,0.0,2.75,2.75,2.75,0.7232328653335571,50400
1976-01-15,0.0,2.6875,2.6875,2.6875,0.7067967057228088,52800
1976-01-16,0.0,2.8125,2.8125,2.8125,0.7396712303161621,48000
1976-01-19,0.0,2.8125,2.8125,2.8125,0.7396712303161621,17600
1976-01-20,0.0,2.78125,2.78125,2.78125,0.7314519882202148,25600
1976-01-21,0.0,2.75,2.75,2.75,0.7232328653335571,19200
1976-01-22,0.0,2.6875,2.6875,2.6875,0.7067967057228088,23200
1976-01-23,0.0,2.71875,2.71875,2.71875,0.7150149941444397,32000
1976-01-26,0.0,2.75,2.75,2.75,0.7232328653335571,31200
1976-01-27,0.0,2.75,2.75,2.75,0.7232328653335571,13600
1976-01-28,0.0,2.75,2.75,2.75,0.7232328653335571,4800
1976-01-29,0.0,2.8125,2.71875,2.71875,0.7150149941444397,17600
1976-01-30,0.0,2.84375,2.75,2.75,0.7232328653335571,24800
1976-02-02,0.0,2.875,2.78125,2.78125,0.7314519882202148,18400
1976-02-03,0.0,3.0,2.90625,2.90625,0.764326274394989,26400
1976-02-04,0.0,3.03125,2.9375,2.9375,0.7725453972816467,16000
1976-02-05,0.0,3.0625,2.96875,2.96875,0.7807632684707642,39200
1976-02-06,0.0,3.0,2.90625,2.90625,0.764326274394989,24800
1976-02-09,0.0,3.0,2.90625,2.90625,0.764326274394989,11200
1976-02-10,0.0,3.0,2.90625,2.90625,0.764326274394989,4000
1976-02-11,0.0,3.03125,2.9375,2.9375,0.7725453972816467,7200
1976-02-12,0.0,3.0,2.90625,2.90625,0.764326274394989,5600
1976-02-13,0.0,3.0,2.90625,2.90625,0.764326274394989,4800
1976-02-17,0.0,2.96875,2.875,2.875,0.7561073899269104,22400
1976-02-18,0.0,2.9375,2.84375,2.84375,0.7478894591331482,8000
1976-02-19,0.0,2.96875,2.875,2.875,0.7561073899269104,20000
1976-02-20,0.0,2.96875,2.875,2.875,0.7561073899269104,16000
1976-02-23,0.0,2.96875,2.875,2.875,0.7561073899269104,12800
1976-02-24,0.0,2.96875,2.875,2.875,0.7561073899269104,16800
