Date,Open,High,Low,Close,Adj Close,Volume
1980-11-18,14.125,14.5,14.125,14.125,2.3617725372314453,3200
1980-11-19,14.25,14.625,14.25,14.25,2.382673978805542,8000
1980-11-20,14.25,14.25,14.125,14.125,2.3617725372314453,16600
1980-11-21,14.625,14.875,14.625,14.625,2.445375442504883,18700
1980-11-24,14.5,14.5,14.125,14.125,2.3617725372314453,40900
1980-11-25,13.75,13.75,13.5,13.5,2.257269859313965,25800
1980-11-26,14.125,14.5,14.125,14.125,2.3617725372314453,75000
1980-11-28,14.375,14.5,14.375,14.375,2.4035749435424805,19300
1980-12-01,14.375,14.375,14.0,14.0,2.3408706188201904,26200
1980-12-02,13.5,13.5,13.0,13.0,2.1736674308776855,20000
1980-12-03,13.125,13.5,13.125,13.125,2.194567918777466,10500
1980-12-04,13.125,13.25,12.75,12.75,2.1318657398223877,13700
1980-12-05,12.75,13.25,12.75,12.75,2.1318657398223877,11000
1980-12-08,12.25,12.25,11.75,11.75,1.96466064453125,8700
1980-12-09,11.75,12.5,11.75,11.75,1.96466064453125,38700
1980-12-10,12.75,13.5,12.75,12.75,2.1318657398223877,10800
1980-12-11,12.75,13.25,12.5,12.5,2.0900652408599854,10800
1980-12-12,12.75,13.25,12.75,12.75,2.1318657398223877,4500
1980-12-15,12.75,12.75,12.0,12.0,2.0064611434936523,8000
1980-12-16,12.0,12.5,12.0,12.0,2.0064611434936523,7500
1980-12-17,12.0,12.5,12.0,12.0,2.0064611434936523,7000
1980-12-18,12.0,12.5,11.75,11.75,1.96466064453125,10600
1980-12-19,12.0,12.5,12.0,12.0,2.0064611434936523,18700
1980-12-22,12.25,12.75,12.25,12.25,2.0482633113861084,16800
1980-12-23,12.25,12.5,12.25,12.25,2.0482633113861084,8600
1980-12-24,12.25,12.75,12.25,12.25,2.0482633113861084,9200
1980-12-26,12.5,13.0,12.5,12.5,2.0900652408599854,3900
1980-12-29,12.5,13.0,12.5,12.5,2.0900652408599854,4400
1980-12-30,12.5,13.0,12.5,12.5,2.0900652408599854,13400
1980-12-31,12.5,12.75,12.25,12.25,2.0482633113861084,7800
1981-01-02,12.75,13.0,12.75,12.75,2.1318657398223877,8000
1981-01-05,13.0,13.5,13.0,13.0,2.1736674308776855,9400
1981-01-06,13.0,13.5,13.0,13.0,2.1736674308776855,10200
1981-01-07,13.0,13.0,12.25,12.25,2.0482633113861084,17100
1981-01-08,12.5,13.0,12.5,12.5,2.0900652408599854,7800
1981-01-09,13.0,13.5,13.0,13.0,2.1736674308776855,5600
1981-01-12,13.0,13.5,13.0,13.0,2.1736674308776855,11400
1981-01-13,13.5,14.0,13.5,13.5,2.257269859313965,5000
1981-01-14,13.75,14.25,13.75,13.75,2.299070119857788,7100
1981-01-15,13.75,14.25,13.75,13.75,2.299070119857788,3300
1981-01-16,13.75,14.25,13.75,13.75,2.299070119857788,6800
1981-01-19,13.75,14.25,13.75,13.75,2.299070119857788,7600
1981-01-20,13.75,14.25,13.5,13.5,2.257269859313965,6800
1981-01-21,13.75,14.25,13.75,13.75,2.299070119857788,2600
1981-01-22,13.75,14.0,13.5,13.5,2.257269859313965,7700
1981-01-23,13.75,14.25,13.75,13.75,2.299070119857788,7900
1981-01-26,13.75,14.0,13.5,13.5,2.257269859313965,3200
1981-01-27,13.75,14.25,13.75,13.75,2.299070119857788,4100
1981-01-28,13.75,14.25,13.5,13.5,2.257269859313965,7800
1981-01-29,13.5,14.0,13.5,13.5,2.257269859313965,2300
1981-01-30,13.5,14.0,13.5,13.5,2.257269859313965,4700
1981-02-02,13.5,13.75,13.25,13.25,2.215468406677246,8500
1981-02-03,13.25,13.75,13.25,13.25,2.215468406677246,3100
1981-02-04,13.5,14.0,13.5,13.5,2.257269859313965,6100
1981-02-05,13.5,14.0,13.5,13.5,2.257269859313965,4600
1981-02-06,13.5,14.0,13.5,13.5,2.257269859313965,5300
1981-02-09,13.5,14.0,13.5,13.5,2.257269859313965,3800
1981-02-10,13.5,14.0,13.5,13.5,2.257269859313965,4300
1981-02-11,13.5,14.0,13.5,13.5,2.257269859313965,2700
1981-02-12,13.5,14.0,13.5,13.5,2.257269859313965,3000
1981-02-13,13.5,14.0,13.5,13.5,2.257269859313965,7600
1981-02-17,13.5,13.75,13.25,13.25,2.215468406677246,4400
1981-02-18,13.5,13.75,13.5,13.5,2.257269859313965,4000
1981-02-19,13.5,14.0,13.5,13.5,2.257269859313965,12600
1981-02-20,13.5,14.0,13.5,13.5,2.257269859313965,3400
1981-02-23,13.5,14.0,13.5,13.5,2.257269859313965,1900
1981-02-24,13.5,13.75,13.25,13.25,2.215468406677246,4800
1981-02-25,13.25,13.5,13.0,13.0,2.1736674308776855,13100
1981-02-26,13.0,13.5,13.0,13.0,2.1736674308776855,15900
1981-02-27,13.0,13.5,13.0,13.0,2.1736674308776855,2200
1981-03-02,13.0,13.5,13.0,13.0,2.1736674308776855,3100
1981-03-03,13.0,13.5,12.75,12.75,2.1318657398223877,5100
1981-03-04,12.75,13.25,12.75,12.75,2.1318657398223877,4400
1981-03-05,12.75,13.25,12.75,12.75,2.1318657398223877,4600
1981-03-06,12.5,12.5,12.0,12.0,2.0064611434936523,7500
1981-03-09,12.5,12.75,12.5,12.5,2.0900652408599854,6400
1981-03-10,12.5,12.75,12.25,12.25,2.0482633113861084,4200
1981-03-11,12.25,12.75,12.25,12.25,2.0482633113861084,4500
1981-03-12,12.25,12.75,12.25,12.25,2.0482633113861084,11000
1981-03-13,12.25,12.75,12.25,12.25,2.0482633113861084,5200
1981-03-16,12.5,12.75,12.5,12.5,2.0900652408599854,5100
1981-03-17,12.5,13.0,12.5,12.5,2.0900652408599854,5400
1981-03-18,12.5,13.0,12.5,12.5,2.0900652408599854,2200
1981-03-19,12.75,13.25,12.75,12.75,2.1318657398223877,8100
1981-03-20,12.75,13.25,12.5,12.5,2.0900652408599854,3200
1981-03-23,12.75,13.25,12.75,12.75,2.1318657398223877,3500
1981-03-24,13.0,13.5,13.0,13.0,2.1736674308776855,8600
1981-03-25,13.0,13.5,13.0,13.0,2.1736674308776855,4000
1981-03-26,13.25,13.75,13.25,13.25,2.215468406677246,3100
1981-03-27,13.75,14.25,13.75,13.75,2.299070119857788,7300
1981-03-30,13.75,14.25,13.75,13.75,2.299070119857788,5800
1981-03-31,13.75,14.25,13.75,13.75,2.299070119857788,14100
1981-04-01,13.75,14.25,13.625,13.625,2.278169870376587,6100
1981-04-02,13.75,14.25,13.75,13.75,2.299070119857788,5800
1981-04-03,13.75,14.25,13.75,13.75,2.299070119857788,4900
1981-04-06,13.75,14.25,13.75,13.75,2.299070119857788,4700
1981-04-07,13.75,14.25,13.625,13.625,2.278169870376587,10000
1981-04-08,13.625,14.25,13.625,13.625,2.278169870376587,4500
1981-04-09,13.625,14.25,13.625,13.625,2.278169870376587,5900
1981-04-10,14.0,14.75,14.0,14.0,2.3408706188201904,3500
1981-04-13,14.0,14.75,14.0,14.0,2.3408706188201904,3200
1981-04-14,14.0,14.25,13.75,13.75,2.299070119857788,4300
1981-04-15,14.0,14.5,14.0,14.0,2.3408706188201904,3900
1981-04-16,14.0,14.5,13.75,13.75,2.299070119857788,4100
1981-04-20,13.25,13.25,12.75,12.75,2.1318657398223877,7100
1981-04-21,13.0,13.25,13.0,13.0,2.1736674308776855,2500
1981-04-22,13.25,13.75,13.25,13.25,2.215468406677246,4500
1981-04-23,13.25,13.75,13.25,13.25,2.215468406677246,3300
1981-04-24,13.25,13.75,13.25,13.25,2.215468406677246,2300
1981-04-27,13.25,13.5,13.0,13.0,2.1736674308776855,5400
1981-04-28,13.0,13.5,13.0,13.0,2.1736674308776855,3700
1981-04-29,13.0,13.25,13.0,13.0,2.1736674308776855,3100
1981-04-30,13.0,13.0,12.75,12.75,2.1318657398223877,2200
1981-05-01,12.75,12.75,12.25,12.25,2.0482633113861084,3600
1981-05-04,12.0,12.0,11.75,11.75,1.96466064453125,2800
1981-05-05,11.75,12.0,11.5,11.5,1.9228594303131104,7300
1981-05-06,11.5,12.0,11.5,11.5,1.9228594303131104,5900
1981-05-07,11.75,12.25,11.75,11.75,1.96466064453125,7500
1981-05-08,11.75,12.5,11.75,11.75,1.96466064453125,4800
1981-05-11,11.75,12.25,11.75,11.75,1.96466064453125,5100
1981-05-12,11.75,12.25,11.75,11.75,1.96466064453125,3800
1981-05-13,11.75,12.25,11.75,11.75,1.96466064453125,1600
1981-05-14,11.75,12.25,11.75,11.75,1.96466064453125,1900
1981-05-15,11.75,12.0,11.5,11.5,1.9228594303131104,3600
1981-05-18,11.5,12.0,11.5,11.5,1.9228594303131104,2400
1981-05-19,11.5,12.0,11.5,11.5,1.9228594303131104,2200
1981-05-20,11.5,12.0,11.25,11.25,1.8810583353042603,3600
1981-05-21,11.5,11.75,11.5,11.5,1.9228594303131104,4300
1981-05-22,11.5,11.75,11.25,11.25,1.8810583353042603,2500
1981-05-26,11.25,11.75,11.25,11.25,1.8810583353042603,2800
1981-05-27,11.25,11.75,11.25,11.25,1.8810583353042603,3700
1981-05-28,11.5,11.75,11.5,11.5,1.9228594303131104,3300
1981-05-29,11.5,12.25,11.5,11.5,1.9228594303131104,3000
1981-06-01,11.5,12.25,11.5,11.5,1.9228594303131104,2200
1981-06-02,11.5,12.25,11.5,11.5,1.9228594303131104,1900
1981-06-03,11.5,11.75,11.25,11.25,1.8810583353042603,5800
