Date,Open,High,Low,Close,Adj Close,Volume
1975-06-12,0.0,15.5,15.25,15.25,7.000627517700195,680800
1975-06-13,0.0,15.6875,15.4375,15.4375,7.086703777313232,434400
1975-06-16,0.0,15.5,15.25,15.25,7.000627517700195,195800
1975-06-17,0.0,15.1875,14.9375,14.9375,6.857174873352051,278800
1975-06-18,0.0,15.625,15.375,15.375,7.05801248550415,178200
1975-06-19,0.0,15.875,15.625,15.625,7.172775745391846,190400
1975-06-20,0.0,15.9375,15.6875,15.6875,7.201467514038086,304800
1975-06-23,0.0,15.8125,15.5625,15.5625,7.144092559814453,119400
1975-06-24,0.0,15.5,15.25,15.25,7.000627517700195,240000
1975-06-25,0.0,15.375,15.125,15.125,6.9432525634765625,158400
1975-06-26,0.0,15.25,15.0,15.0,6.885864734649658,121200
1975-06-27,0.0,15.1875,14.9375,14.9375,6.857174873352051,88000
1975-06-30,0.0,15.5,15.25,15.25,7.000627517700195,123200
1975-07-01,0.0,15.3125,15.0625,15.0625,6.91455602645874,87200
1975-07-02,0.0,15.1875,14.9375,14.9375,6.857174873352051,139400
1975-07-03,0.0,15.8125,15.5625,15.5625,7.144092559814453,158600
1975-07-07,0.0,15.4375,15.1875,15.1875,6.971940517425537,112400
1975-07-08,0.0,15.375,15.125,15.125,6.9432525634765625,144000
1975-07-09,0.0,15.75,15.5,15.5,7.115393161773682,223000
1975-07-10,0.0,15.6875,15.4375,15.4375,7.086703777313232,227600
1975-07-11,0.0,16.25,16.0,16.0,7.3449249267578125,293400
1975-07-14,0.0,17.0625,16.8125,16.8125,7.717912673950195,371800
1975-07-15,0.0,17.0,16.75,16.75,7.689213752746582,281600
1975-07-16,0.0,16.9375,16.6875,16.6875,7.660524845123291,364600
1975-07-17,0.0,17.1875,16.9375,16.9375,7.775288105010986,222000
1975-07-18,0.0,18.0,17.75,17.75,8.148275375366211,351000
1975-07-21,0.0,17.8125,17.5625,17.5625,8.062202453613281,204800
1975-07-22,0.0,17.1875,16.9375,16.9375,7.775288105010986,234000
1975-07-23,0.0,16.875,16.625,16.625,7.631838798522949,176800
1975-07-24,0.0,16.625,16.375,16.375,7.517066955566406,143400
1975-07-25,0.0,16.1875,15.9375,15.9375,7.316231727600098,102600
1975-07-28,0.0,16.125,15.875,15.875,7.287543296813965,96000
1975-07-29,0.0,15.625,15.375,15.375,7.05801248550415,160200
1975-07-30,0.0,15.8125,15.5625,15.5625,7.144092559814453,118600
1975-07-31,0.0,15.5,15.25,15.25,7.000627517700195,88400
1975-08-01,0.0,15.1875,14.9375,14.9375,6.857174873352051,101600
1975-08-04,14.9375,14.9375,14.9375,14.9375,6.857174873352051,0
1975-08-05,0.0,15.6875,15.4375,15.4375,7.086703777313232,120200
1975-08-06,0.0,16.3125,16.0625,16.0625,7.373612880706787,109800
1975-08-07,0.0,15.625,15.375,15.375,7.05801248550415,127200
1975-08-08,0.0,15.0625,14.8125,14.8125,6.799793720245361,144600
1975-08-11,0.0,15.375,15.125,15.125,6.9432525634765625,111400
1975-08-12,0.0,15.3125,15.0625,15.0625,6.91455602645874,81600
1975-08-13,0.0,14.5,14.25,14.25,6.541573524475098,112400
1975-08-14,0.0,14.5,14.25,14.25,6.541573524475098,104200
1975-08-15,0.0,14.25,14.0,14.0,6.426806449890137,73600
1975-08-18,0.0,13.625,13.375,13.375,6.139895915985107,78400
1975-08-19,0.0,13.625,13.375,13.375,6.139895915985107,69800
1975-08-20,0.0,14.0625,13.8125,13.8125,6.340733051300049,83600
1975-08-21,0.0,14.625,14.375,14.375,6.598952293395996,60400
1975-08-22,0.0,15.0,14.75,14.75,6.771101474761963,32200
1975-08-25,0.0,14.9375,14.6875,14.6875,6.742412567138672,48000
1975-08-26,0.0,14.4375,14.1875,14.1875,6.512880802154541,70200
1975-08-27,0.0,14.6875,14.4375,14.4375,6.627647399902344,42400
1975-08-28,0.0,15.4375,15.1875,15.1875,6.971940517425537,83600
1975-08-29,0.0,15.625,15.375,15.375,7.05801248550415,105200
1975-09-02,0.0,14.9375,14.6875,14.6875,6.742412567138672,70800
1975-09-03,0.0,15.1875,14.9375,14.9375,6.857174873352051,69400
1975-09-04,0.0,15.3125,15.0625,15.0625,6.91455602645874,59600
1975-09-05,0.0,14.875,14.625,14.625,6.713719367980957,63600
1975-09-08,0.0,14.4375,14.1875,14.1875,6.512880802154541,50400
1975-09-09,0.0,14.0,13.75,13.75,6.312046051025391,134600
1975-09-10,0.0,13.625,13.375,13.375,6.139895915985107,146600
1975-09-11,0.0,13.5625,13.3125,13.3125,6.1112060546875,144800
1975-09-12,0.0,13.75,13.5,13.5,6.197278022766113,61000
