Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,8.71875,8.71875,8.71875,3.051628351211548,53200
1975-11-18,0.0,8.96875,8.96875,8.96875,3.1391303539276123,106800
1975-11-19,0.0,8.5625,8.5625,8.5625,2.996941089630127,170400
1975-11-20,0.0,8.4375,8.4375,8.4375,2.9531896114349365,61200
1975-11-21,0.0,8.4375,8.4375,8.4375,2.9531896114349365,64000
1975-11-24,0.0,8.40625,8.40625,8.40625,2.942251205444336,88400
1975-11-25,0.0,8.375,8.375,8.375,2.931312084197998,75200
1975-11-26,0.0,8.4375,8.4375,8.4375,2.9531896114349365,89200
1975-11-28,0.0,8.5,8.5,8.5,2.975064992904663,95600
1975-12-01,0.0,8.25,8.25,8.25,2.8875620365142822,102400
1975-12-02,0.0,7.875,7.875,7.875,2.7563087940216064,78400
1975-12-03,0.0,7.5,7.5,7.5,2.6250572204589844,86400
1975-12-04,0.0,7.5,7.5,7.5,2.6250572204589844,48800
1975-12-05,0.0,7.4375,7.4375,7.4375,2.6031813621520996,62800
1975-12-08,0.0,7.4375,7.4375,7.4375,2.6031813621520996,87600
1975-12-09,0.0,7.4375,7.4375,7.4375,2.6031813621520996,158800
1975-12-10,0.0,7.46875,7.46875,7.46875,2.6141185760498047,99600
1975-12-11,0.0,7.5,7.5,7.5,2.6250572204589844,62400
1975-12-12,0.0,7.875,7.875,7.875,2.7563087940216064,116400
1975-12-15,0.0,7.84375,7.84375,7.84375,2.7453715801239014,170800
1975-12-16,0.0,7.96875,7.96875,7.96875,2.7891225814819336,110400
1975-12-17,0.0,8.03125,8.03125,8.03125,2.8109982013702393,92800
1975-12-18,0.0,8.0625,8.0625,8.0625,2.821937084197998,81200
1975-12-19,0.0,8.0,8.0,8.0,2.8000612258911133,130800
1975-12-22,0.0,8.0,8.0,8.0,2.8000612258911133,67200
1975-12-23,0.0,8.03125,8.03125,8.03125,2.8109982013702393,59600
1975-12-24,0.0,7.8125,7.8125,7.8125,2.734433174133301,135200
1975-12-26,0.0,7.84375,7.84375,7.84375,2.7453715801239014,46800
1975-12-29,0.0,7.75,7.75,7.75,2.7125585079193115,52800
1975-12-30,0.0,7.71875,7.71875,7.71875,2.7016212940216064,54000
1975-12-31,0.0,7.71875,7.71875,7.71875,2.7016212940216064,34800
1976-01-02,0.0,7.875,7.875,7.875,2.7563087940216064,71600
1976-01-05,0.0,7.96875,7.96875,7.96875,2.7891225814819336,104400
1976-01-06,0.0,8.3125,8.3125,8.3125,2.909437656402588,132800
1976-01-07,0.0,8.125,8.125,8.125,2.843812942504883,120000
1976-01-08,0.0,8.125,8.125,8.125,2.843812942504883,85200
1976-01-09,0.0,8.125,8.125,8.125,2.843812942504883,59600
1976-01-12,0.0,8.125,8.125,8.125,2.843812942504883,48800
1976-01-13,0.0,8.03125,8.03125,8.03125,2.8109982013702393,112400
1976-01-14,0.0,8.125,8.125,8.125,2.843812942504883,90000
1976-01-15,0.0,8.0,8.0,8.0,2.8000612258911133,174000
1976-01-16,0.0,8.0,8.0,8.0,2.8000612258911133,14400
1976-01-19,0.0,8.03125,8.03125,8.03125,2.8109982013702393,56000
1976-01-20,0.0,8.0625,8.0625,8.0625,2.821937084197998,59200
1976-01-21,0.0,8.0,8.0,8.0,2.8000612258911133,62000
1976-01-22,0.0,7.9375,7.9375,7.9375,2.778184413909912,52800
1976-01-23,0.0,7.875,7.875,7.875,2.7563087940216064,42800
1976-01-26,0.0,7.53125,7.53125,7.53125,2.635995864868164,84400
1976-01-27,0.0,7.5,7.5,7.5,2.6250572204589844,272000
1976-01-28,0.0,7.6875,7.6875,7.6875,2.6906838417053223,212000
1976-01-29,0.0,8.3125,8.1875,8.1875,2.865687131881714,158400
1976-01-30,0.0,8.125,8.0,8.0,2.8000612258911133,304400
1976-02-02,0.0,8.25,8.125,8.125,2.843812942504883,73600
1976-02-03,0.0,8.28125,8.15625,8.15625,2.8547487258911133,66800
1976-02-04,0.0,8.375,8.25,8.25,2.8875620365142822,184000
1976-02-05,0.0,8.3125,8.1875,8.1875,2.865687131881714,64800
1976-02-06,0.0,8.15625,8.03125,8.03125,2.8109982013702393,72000
1976-02-09,0.0,8.25,8.125,8.125,2.843812942504883,42800
1976-02-10,0.0,8.15625,8.03125,8.03125,2.8109982013702393,91200
1976-02-11,0.0,8.1875,8.0625,8.0625,2.821937084197998,28800
1976-02-12,0.0,8.25,8.125,8.125,2.843812942504883,131200
1976-02-13,0.0,8.25,8.125,8.125,2.843812942504883,20400
1976-02-17,0.0,8.1875,8.0625,8.0625,2.821937084197998,36000
1976-02-18,0.0,8.15625,8.03125,8.03125,2.8109982013702393,79600
1976-02-19,0.0,7.96875,7.84375,7.84375,2.7453715801239014,159600
1976-02-20,0.0,8.0625,7.9375,7.9375,2.778184413909912,388000
1976-02-23,0.0,8.0625,7.9375,7.9375,2.778184413909912,223600
1976-02-24,0.0,8.1875,8.0625,8.0625,2.821937084197998,114800
1976-02-25,0.0,8.25,8.125,8.125,2.843812942504883,96400
1976-02-26,0.0,8.125,8.0,8.0,2.8000612258911133,248400
1976-02-27,0.0,7.96875,7.84375,7.84375,2.7453715801239014,124000
1976-03-01,0.0,7.9375,7.8125,7.8125,2.734433174133301,76000
1976-03-02,0.0,7.96875,7.84375,7.84375,2.7453715801239014,70800
1976-03-03,0.0,7.84375,7.71875,7.71875,2.7016212940216064,44400
1976-03-04,0.0,7.84375,7.71875,7.71875,2.7016212940216064,57200
1976-03-05,0.0,7.8125,7.6875,7.6875,2.6906838417053223,45200
1976-03-08,0.0,7.90625,7.78125,7.78125,2.723496198654175,27600
1976-03-09,0.0,8.0625,7.9375,7.9375,2.778184413909912,37200
1976-03-10,0.0,8.15625,8.03125,8.03125,2.8109982013702393,85200
1976-03-11,0.0,8.4375,8.3125,8.3125,2.909437656402588,150800
1976-03-12,0.0,8.4375,8.3125,8.3125,2.909437656402588,92400
1976-03-15,0.0,8.25,8.125,8.125,2.843812942504883,89200
1976-03-16,0.0,8.3125,8.1875,8.1875,2.865687131881714,50800
1976-03-17,0.0,8.3125,8.1875,8.1875,2.865687131881714,86400
1976-03-18,0.0,8.3125,8.1875,8.1875,2.865687131881714,93600
1976-03-19,0.0,8.3125,8.1875,8.1875,2.865687131881714,26800
1976-03-22,0.0,8.3125,8.1875,8.1875,2.865687131881714,28800
1976-03-23,0.0,8.59375,8.46875,8.46875,2.9641265869140625,210000
1976-03-24,0.0,8.65625,8.53125,8.53125,2.9860012531280518,137600
1976-03-25,0.0,8.78125,8.65625,8.65625,3.0297532081604004,124000
1976-03-26,0.0,8.625,8.5,8.5,2.975064992904663,70000
1976-03-29,0.0,8.5,8.375,8.375,2.931312084197998,33600
1976-03-30,0.0,8.4375,8.3125,8.3125,2.909437656402588,41200
1976-03-31,0.0,8.4375,8.3125,8.3125,2.909437656402588,18800
1976-04-01,0.0,8.4375,8.3125,8.3125,2.909437656402588,30800
1976-04-02,0.0,8.46875,8.34375,8.34375,2.9203758239746094,10000
1976-04-05,0.0,8.71875,8.59375,8.59375,3.007878303527832,79200
1976-04-06,0.0,8.6875,8.5625,8.5625,2.996941089630127,110400
1976-04-07,0.0,8.59375,8.46875,8.46875,2.9641265869140625,32800
1976-04-08,0.0,8.5,8.375,8.375,2.931312084197998,55200
1976-04-09,0.0,8.25,8.125,8.125,2.843812942504883,104400
1976-04-12,0.0,8.1875,8.0625,8.0625,2.821937084197998,71600
1976-04-13,0.0,8.125,8.0,8.0,2.8000612258911133,201600
1976-04-14,0.0,8.1875,8.0625,8.0625,2.821937084197998,51600
1976-04-15,0.0,8.0,7.875,7.875,2.7563087940216064,129600
1976-04-19,0.0,8.0625,7.9375,7.9375,2.778184413909912,36400
1976-04-20,0.0,8.03125,7.90625,7.90625,2.7672488689422607,53600
1976-04-21,0.0,7.875,7.75,7.75,2.7125585079193115,40400
1976-04-22,0.0,7.90625,7.78125,7.78125,2.723496198654175,12800
1976-04-23,0.0,7.8125,7.6875,7.6875,2.6906838417053223,105200
1976-04-26,0.0,7.78125,7.65625,7.65625,2.6797449588775635,72800
1976-04-27,0.0,7.8125,7.6875,7.6875,2.6906838417053223,89600
1976-04-28,0.0,7.875,7.75,7.75,2.7125585079193115,45200
1976-04-29,0.0,7.65625,7.53125,7.53125,2.635995864868164,180000
1976-04-30,0.0,7.34375,7.21875,7.21875,2.526616334915161,114000
1976-05-03,0.0,7.03125,6.90625,6.90625,2.4172403812408447,70800
1976-05-04,0.0,6.96875,6.84375,6.84375,2.395364284515381,60000
1976-05-05,0.0,6.96875,6.84375,6.84375,2.395364284515381,46000
1976-05-06,0.0,7.125,7.0,7.0,2.4500527381896973,29200
1976-05-07,0.0,7.3125,7.1875,7.1875,2.5156805515289307,150400
1976-05-10,0.0,7.25,7.125,7.125,2.4938039779663086,108800
1976-05-11,0.0,7.1875,7.0625,7.0625,2.4719274044036865,90000
1976-05-12,0.0,7.46875,7.34375,7.34375,2.5703670978546143,283600
1976-05-13,0.0,7.5,7.375,7.375,2.581305742263794,20400
1976-05-14,0.0,7.4375,7.3125,7.3125,2.5594308376312256,36000
1976-05-17,0.0,7.15625,7.03125,7.03125,2.4609901905059814,86000
1976-05-18,0.0,7.15625,7.03125,7.03125,2.4609901905059814,58000
1976-05-19,0.0,7.1875,7.0625,7.0625,2.4719274044036865,7200
1976-05-20,0.0,7.21875,7.09375,7.09375,2.48286509513855,67600
1976-05-21,0.0,7.125,7.0,7.0,2.4500527381896973,91200
1976-05-24,0.0,6.875,6.75,6.75,2.3625526428222656,56400
1976-05-25,0.0,6.90625,6.78125,6.78125,2.3734889030456543,46400
1976-05-26,0.0,6.90625,6.78125,6.78125,2.3734889030456543,43200
1976-05-27,0.0,6.875,6.75,6.75,2.3625526428222656,6000
1976-05-28,0.0,6.875,6.75,6.75,2.3625526428222656,7600
1976-06-01,0.0,6.875,6.75,6.75,2.3625526428222656,21600
1976-06-02,0.0,6.875,6.75,6.75,2.3625526428222656,36800
1976-06-03,0.0,6.875,6.75,6.75,2.3625526428222656,4400
1976-06-04,0.0,6.8125,6.6875,6.6875,2.3406755924224854,41200
1976-06-07,0.0,6.625,6.5,6.5,2.2750494480133057,31600
1976-06-08,0.0,6.5625,6.4375,6.4375,2.253173828125,46000
1976-06-09,0.0,6.46875,6.34375,6.34375,2.220360279083252,39200
1976-06-10,0.0,6.46875,6.34375,6.34375,2.220360279083252,19600
1976-06-11,0.0,6.40625,6.28125,6.28125,2.1984848976135254,72400
1976-06-14,0.0,6.40625,6.28125,6.28125,2.1984848976135254,11200
1976-06-15,0.0,6.5,6.375,6.375,2.231297254562378,95200
1976-06-16,0.0,6.625,6.5,6.5,2.2750494480133057,139600
1976-06-17,0.0,6.9375,6.8125,6.8125,2.3844265937805176,114800
1976-06-18,0.0,7.0,6.875,6.875,2.406301736831665,87600
1976-06-21,0.0,6.96875,6.84375,6.84375,2.395364284515381,79600
1976-06-22,0.0,6.8125,6.6875,6.6875,2.3406755924224854,107600
1976-06-23,0.0,6.8125,6.6875,6.6875,2.3406755924224854,65200
1976-06-24,0.0,6.875,6.75,6.75,2.3625526428222656,188000
1976-06-25,0.0,6.875,6.75,6.75,2.3625526428222656,90000
1976-06-28,0.0,6.875,6.75,6.75,2.3625526428222656,48400
1976-06-29,0.0,6.875,6.75,6.75,2.3625526428222656,62000
1976-06-30,0.0,6.9375,6.8125,6.8125,2.3844265937805176,94000
1976-07-01,0.0,7.28125,7.15625,7.15625,2.504742383956909,228400
1976-07-02,0.0,7.4375,7.3125,7.3125,2.5594308376312256,117200
1976-07-06,0.0,7.25,7.125,7.125,2.4938039779663086,48400
1976-07-07,0.0,7.28125,7.15625,7.15625,2.504742383956909,43600
1976-07-08,0.0,7.3125,7.1875,7.1875,2.5156805515289307,60400
1976-07-09,0.0,7.53125,7.40625,7.40625,2.5922434329986572,260400
1976-07-12,0.0,7.8125,7.6875,7.6875,2.6906838417053223,151600
1976-07-13,0.0,7.75,7.625,7.625,2.6688075065612793,192800
1976-07-14,0.0,7.75,7.625,7.625,2.6688075065612793,99600
1976-07-15,0.0,7.59375,7.46875,7.46875,2.6141185760498047,63200
1976-07-16,0.0,7.5625,7.4375,7.4375,2.6031813621520996,232400
1976-07-19,0.0,7.5,7.375,7.375,2.581305742263794,38800
1976-07-20,0.0,7.28125,7.15625,7.15625,2.504742383956909,56400
1976-07-21,0.0,7.25,7.125,7.125,2.4938039779663086,82000
1976-07-22,0.0,7.25,7.125,7.125,2.4938039779663086,10400
1976-07-23,0.0,7.28125,7.15625,7.15625,2.504742383956909,17200
1976-07-26,0.0,7.375,7.25,7.25,2.5375545024871826,82800
1976-07-27,0.0,7.375,7.25,7.25,2.5375545024871826,73200
1976-07-28,0.0,7.53125,7.40625,7.40625,2.5922434329986572,38000
